animalid,name,datetime,outcometype,outcomesubtype,animaltype,sexuponoutcome,ageuponoutcome,breed,color
A671945,Hambone,2014-02-12 18:22:00,Return_to_owner,unknown,Dog,Neutered Male,365,Shetland Sheepdog Mix,Brown/White
A656520,Emily,2013-10-13 12:44:00,Euthanasia,Suffering,Cat,Spayed Female,365,Domestic Shorthair Mix,Cream Tabby
A686464,Pearce,2015-01-31 12:28:00,Adoption,Foster,Dog,Neutered Male,730,Pit Bull Mix,Blue/White
A683430,Unnamed,2014-07-11 19:09:00,Transfer,Partner,Cat,Intact Male,21,Domestic Shorthair Mix,Blue Cream
A667013,Unnamed,2013-11-15 12:52:00,Transfer,Partner,Dog,Neutered Male,730,Lhasa Apso/Miniature Poodle,Tan
A677334,Elsa,2014-04-25 13:04:00,Transfer,Partner,Dog,Intact Female,30,Cairn Terrier/Chihuahua Shorthair,Black/Tan
A699218,Jimmy,2015-03-28 13:11:00,Transfer,Partner,Cat,Intact Male,21,Domestic Shorthair Mix,Blue Tabby
A701489,Unnamed,2015-04-30 17:02:00,Transfer,Partner,Cat,Unknown,21,Domestic Shorthair Mix,Brown Tabby
A671784,Lucy,2014-02-04 17:17:00,Adoption,unknown,Dog,Spayed Female,150,American Pit Bull Terrier Mix,Red/White
A677747,Unnamed,2014-05-03 07:48:00,Adoption,Offsite,Dog,Spayed Female,365,Cairn Terrier,White
A668402,Unnamed,2013-12-05 15:50:00,Transfer,SCRP,Cat,Unknown,730,Domestic Shorthair Mix,Black
A666320,Unnamed,2013-11-04 14:48:00,Adoption,unknown,Dog,Spayed Female,730,Miniature Schnauzer Mix,Silver
A684601,Rocket,2016-02-03 11:27:00,Adoption,Foster,Dog,Neutered Male,1460,Pit Bull Mix,Brown
A704702,Scooter,2015-06-08 16:30:00,Return_to_owner,unknown,Dog,Neutered Male,730,Yorkshire Terrier Mix,Black/Red
A688584,Preston,2015-11-25 15:00:00,Return_to_owner,unknown,Dog,Neutered Male,365,Great Pyrenees Mix,White/Cream
A678825,Oliver,2014-07-12 12:10:00,Adoption,Foster,Cat,Neutered Male,90,Domestic Shorthair Mix,Orange Tabby/White
